,Earnings,Cycles
167,273.5700000000021,1356.7446418220275
168,-157.93999999999994,1345.8549905384614
169,300.4900000000024,1366.0106462346532
170,72.96999999999598,1361.126805541456
171,-625.2000000000078,1365.6349340597706
172,-1186.4500000000032,1366.3863637634854
173,-1135.7700000000125,1375.4051908386475
174,-1073.3499999999983,1363.7564534919263
175,-1391.8599999999944,1369.3922967454755
176,-519.9500000000008,1374.4029466163245
177,-661.7600000000052,1344.7287317132657
178,-755.1899999999957,1385.179068176927
179,-1749.36999999999,1372.1480363608844
180,-2450.7300000000046,1377.4097935430243
181,1787.6199999999915,1351.7373467183452
182,-1144.4899999999975,1360.8763765596987
183,1929.8600000000054,1385.179068176927
184,-1005.7900000000018,1372.899651691101
185,594.7800000000001,1355.1171665567667
186,802.2199999999973,1367.8892874198339
187,-1511.17,1353.114258031685
188,-167.8199999999982,1362.1285452596342
189,-47.49999999999851,1372.899651691101
190,-342.8599999999976,1381.0435242818487
191,959.5000000000014,1369.3922967454755
192,1063.3399999999992,1369.642806629051
193,-35.07999999999245,1363.8816813658502
194,885.0799999999978,1362.6294293937292
195,-8.649999999998016,1398.4673226440923
196,540.0599999999952,1377.2845014105674
197,-1058.2000000000023,1352.238033417323
198,608.9600000000023,1359.4990596852972
199,-313.5499999999997,1369.3922967454755
200,-226.0700000000028,1381.7953931376862
201,-1874.4800000000048,1367.137814883303
202,792.2799999999983,1371.1459159083738
203,1493.4899999999952,1368.2650317195573
204,1276.2500000000005,1359.2486461670887
205,-294.7599999999973,1364.633061101033
206,605.4900000000027,1388.1871436544286
207,-929.9800000000041,1378.1615588358138
208,-1973.2099999999994,1382.547283422142
209,-834.4499999999975,1374.1523915115263
210,-2608.2999999999993,1363.1303230447356
211,5.139999999997386,1345.604706638602
212,195.1800000000022,1362.6294293937292
213,1948.1100000000015,1353.6149708922887
214,-614.8100000000004,1377.9109680242846
215,-1971.9799999999907,1371.3964424514502
216,1158.9099999999999,1399.4704813322512
217,-34.399999999999736,1355.8682964991244
218,-858.7600000000001,1368.6407813736878
219,906.6999999999972,1365.6349340597706
220,-100.13000000000399,1360.125103888754
221,-2478.740000000002,1383.173875028713
222,1317.3199999999988,1387.9364576000696
223,1534.4600000000007,1381.168834269749
224,-1236.5600000000015,1374.2776687663904
225,368.18999999999846,1371.8975026776827
226,-1104.049999999998,1367.6387941946512
227,-1303.630000000001,1380.918214889171
228,598.2900000000021,1349.9850181854497
229,-2105.589999999996,1364.1321388982067
230,942.2399999999957,1372.774380981818
231,-891.9700000000023,1370.6448699621878
232,-2156.639999999998,1389.6913099935982
233,308.32000000000187,1367.3883033491484
234,2778.429999999996,1408.8769481543331
235,380.9799999999956,1382.923236600293
236,-188.67000000000058,1394.2043234714276
237,-1056.9799999999984,1374.9040639668146
238,1019.3600000000008,1381.0435242818487
239,-122.25000000000053,1360.3755257333703
240,-221.5799999999981,1368.0145349248123
241,-1200.5199999999975,1370.3943505590332
242,-117.17999999999998,1372.2733040950163
243,-906.5400000000013,1356.2438694980997
244,202.61000000000354,1363.3807734391373
245,-828.0299999999982,1356.3690616870801
246,56.579999999996375,1349.8598563206758
247,33.43000000000275,1360.625949957011
248,-603.9600000000034,1371.3964424514502
249,-605.3499999999995,1374.528225061331
250,-2380.80000000002,1359.7494755824512
251,-914.4399999999957,1361.62767064227
252,504.0900000000017,1373.651288442711
253,-2639.879999999984,1376.658049675291
254,1505.1600000000008,1372.2733040950163
255,-758.9000000000021,1370.0185759166604
256,659.1500000000017,1358.3722175872276
257,524.0599999999986,1363.255547944526
258,1313.7100000000019,1377.4097935430243
259,-257.17000000000496,1384.677755602748
260,-1535.1299999999987,1383.424515838215
261,1559.8799999999947,1355.9934869041247
